Name,Team,Season,Age,G,PA,AB,HR,AVG,OBP,SLG,OPS,ISO,BABIP,wOBA,xwOBA,wRC+,WAR,K%,BB%,Barrel%,HardHit%,EV,O-Swing%,Z-Contact%,Contact%,SwStr%,Spd
Nathan Lukes,TOR,2026,31.0,53.0,183.0,167.0,4.0,0.299401197,0.348066298,0.419161676,0.767227974,0.119760479,0.34074074,0.3390291451749222,0.3058661782280516,116.58905977151657,1.0118558730694343,0.158469945,0.049180327,0.0141844,0.28368794,86.3768115942029,0.38967136,0.855,0.83333333,0.08321965,1.600491839090204
Teoscar Hernandez,LAD,2026,33.0,53.0,214.0,189.0,7.0,0.275132275,0.345794392,0.428571428,0.77436582,0.153439153,0.357142857,0.33873380014034504,0.3330905122577019,114.51782422261209,1.0017804670645525,0.275700934,0.093457943,0.10526316,0.45112782,89.96136659564394,0.28793774,0.79835391,0.7314578,0.12027491,3.8614757470267698
Angel Martinez,CLE,2026,24.0,66.0,243.0,226.0,11.0,0.238938053,0.276150627,0.442477876,0.718628503,0.203539823,0.26380368,0.3103486254624243,0.3055638225138688,97.47688142966669,0.952269253941453,0.218106995,0.028806584,0.07865169,0.36516854,87.85639421329942,0.44840525,0.91967871,0.83196721,0.09040794,6.113250983878553
Wade Meckler,LAA,2026,26.0,35.0,119.0,106.0,2.0,0.29245283,0.369747899,0.415094339,0.784842238,0.122641509,0.371794871,0.3497984153883798,0.3212184425161666,122.19058282514274,0.9076396158922609,0.218487394,0.109243697,0.0625,0.3,86.09999876384494,0.29288703,0.92857143,0.77472527,0.09927361,4.141384333654928
Jonny DeLuca,TBR,2026,27.0,49.0,154.0,144.0,4.0,0.263888888,0.302631578,0.4375,0.740131578,0.173611112,0.309090909,0.3217396065592766,0.2889033116792378,103.21837137606178,0.9069224993308805,0.194805194,0.051948051,0.04310345,0.30172414,85.58303397042411,0.37249284,0.86538462,0.76223776,0.11971831,5.492687626561111
A.J. Ewing,NYM,2026,21.0,47.0,181.0,157.0,4.0,0.267515923,0.351955307,0.401273885,0.753229192,0.133757962,0.348623853,0.33560063785680844,0.348716437483633,115.18105429521239,0.9050734302335525,0.248618784,0.110497237,0.06086957,0.42608696,89.00265313882744,0.28205128,0.86069652,0.77950311,0.09517426,4.786968448401921
Daylen Lile,WSN,2026,23.0,86.0,368.0,336.0,8.0,0.25,0.304347826,0.395833333,0.700181159,0.145833333,0.281481481,0.3059219896630955,0.3109462091831562,91.91829246902589,0.8920486126549213,0.16847826,0.065217391,0.0647482,0.3381295,87.38844624323104,0.38565629,0.90023753,0.79745042,0.11128405,5.363595490377457
Gavin Sheets,SDP,2026,30.0,79.0,276.0,244.0,14.0,0.233606557,0.322463768,0.463114754,0.785578522,0.229508197,0.257485029,0.34294263349063153,0.3374857142351676,120.56410283374578,0.8879700712444265,0.228260869,0.105072463,0.08839779,0.44198895,89.32927960980663,0.34149856,0.89138577,0.81150794,0.08189655,3.601164863067016
Ronald Acuna Jr.,ATL,2026,28.0,53.0,236.0,195.0,7.0,0.251282051,0.372881355,0.42051282,0.793394175,0.169230769,0.304347826,0.3511832356452942,0.37831917787209535,121.93400585172817,0.8869972815576208,0.220338983,0.148305084,0.13103448,0.43448276,90.05862068965517,0.27574751,0.80524345,0.74364896,0.11586639,5.653263890711946
Evan Carter,TEX,2026,23.0,69.0,239.0,202.0,6.0,0.178217821,0.289361702,0.316831683,0.606193385,0.138613862,0.215827338,0.27714503902070065,0.2866215158016124,74.89574357200686,0.8785621778288207,0.242677824,0.121338912,0.06711409,0.37583893,88.02766234485816,0.23716814,0.8540146,0.74754902,0.10248756,7.413999981672211
