pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,miss_distance,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
CH,2026-07-22,84.5,-1.27,5.75,"Whitlock, Garrett",681297,676477,field_out,hit_into_play,,,,,8,Colton Cowser flies out to right fielder Wilyer Abreu.,R,L,R,BOS,BAL,X,9,fly_ball,2,2,2026,-1.14,0.12,-0.1366791225301258,1.7677724485110544,,,,0,8,Top,187.75,71.72,,,,,4.983973159392734,-123.1034657715237,-3.0812665179854744,-12.53856331201058,20.532104900662603,-30.55361929894669,3.328830381,1.679970472,348,95.4,23,86.4,2206,7.1,824735,657136,575929,663853,702332,691907,680776,678882,677800,53.42,0.191,0.234,0.0,1,0,0,3,62,5,Changeup,6,3,3,6,3,6,3,6,Standard,Standard,271,0.02,-0.237,75.7,7.9,,0.372,0.237,95.4,3,-3,0.931,0.0689999999999999,30,26,30,26,1,0,,,,,3.02,1.14,-1.14,,17.202871178929833,-11.548161694992588,39.682682654650655,36.4179003217098,43.19512830330619
SI,2026-07-22,95.4,-1.08,5.99,"Whitlock, Garrett",681297,676477,,called_strike,,,,,8,,R,L,R,BOS,BAL,S,,,2,1,2026,-0.79,1.15,0.0767731560434079,1.7307697556824546,,,,0,8,Top,,,,,,,4.889972980311228,-138.79095798166682,-8.128853979803639,-11.283141060164484,27.853450616560792,-15.754469174016243,3.328830381,1.679970472,,,,97.4,2265,7.2,824735,657136,575929,663853,702332,691907,680776,678882,677800,53.29,,,,,,,,62,4,Sinker,6,3,3,6,3,6,3,6,Standard,Standard,226,0.007,-0.079,,,,,0.079,,3,-3,0.924,0.0759999999999999,30,26,30,26,1,0,,,,,1.34,0.79,-0.79,,,,,,
SI,2026-07-22,93.4,-0.95,5.93,"Whitlock, Garrett",681297,676477,,foul,,,,,4,,R,L,R,BOS,BAL,S,,,2,0,2026,-0.71,1.25,-0.4559058087903048,2.805812237957886,,,,0,8,Top,,,,,,,2.915409193073665,-136.08779210448074,-5.00414766998162,-9.50622437187652,28.244288992846844,-15.767671388599132,3.328830381,1.679970472,210,74.4,37,95.5,2152,7.3,824735,657136,575929,663853,702332,691907,680776,678882,677800,53.19,,,,,,,,62,3,Sinker,6,3,3,6,3,6,3,6,Standard,Standard,234,0.009,-0.079,73.6,6.9,,,0.079,88.0,3,-3,0.915,0.0849999999999999,30,26,30,26,1,0,,,,,1.35,0.71,-0.71,,1.4998615341711354,11.367772306481198,39.25910534264395,39.747764291009986,24.53065758258371
SI,2026-07-22,94.4,-0.91,5.99,"Whitlock, Garrett",681297,676477,,ball,,,,,12,,R,L,R,BOS,BAL,B,,,1,0,2026,-0.62,1.18,0.0497652576622968,3.66276078223028,,,,0,8,Top,,,,,,,3.928915660693713,-137.53788316746474,-2.947794617738754,-8.724071260871273,27.536345259318633,-16.701924218359217,3.328830381,1.679970472,,,,96.2,2169,7.1,824735,657136,575929,663853,702332,691907,680776,678882,677800,53.45,,,,,,,,62,2,Sinker,6,3,3,6,3,6,3,6,Standard,Standard,229,-0.009,0.085,,,,,-0.085,,3,-3,0.924,0.0759999999999999,30,26,30,26,1,0,,,,,1.35,0.62,-0.62,,,,,,
SI,2026-07-22,94.9,-1.12,5.89,"Whitlock, Garrett",681297,676477,,ball,,,,,14,,R,L,R,BOS,BAL,B,,,0,0,2026,-0.81,1.18,1.2102430623780056,2.488548206501944,,,,0,8,Top,,,,,,,7.989845440330716,-137.96330673610925,-5.8268149496029675,-12.010148787499933,28.112759018339897,-16.002094597983877,3.328830381,1.679970472,,,,96.9,2135,7.3,824735,657136,575929,663853,702332,691907,680776,678882,677800,53.22,,,,,,,,62,1,Sinker,6,3,3,6,3,6,3,6,Standard,Standard,230,-0.004,0.045,,,,,-0.045,,3,-3,0.928,0.0719999999999999,30,26,30,26,1,0,,,,,1.34,0.81,-0.81,,,,,,
FF,2026-07-22,95.1,-0.84,5.91,"Slaten, Justin",641933,686580,strikeout,called_strike,,,,,5,Tyler O'Neill called out on strikes.,R,R,R,BOS,BAL,S,2,,1,2,2026,-0.05,1.41,-0.1752685695992959,2.130153669389774,,,621493,2,7,Top,,,,,,,1.8502881626361525,-138.501538530801,-7.438051970079773,-1.0128778691956757,26.494166161208778,-12.52967267742039,3.097137467,1.563041339,,,,96.9,2434,7.0,824735,657136,575929,663853,702332,691907,680776,678882,677800,53.54,,0.0,0.0,1,0,0,,58,4,4-Seam Fastball,6,3,3,6,3,6,3,6,Standard,Standard,191,0.014,-0.201,,,,,0.201,,3,-3,0.927,0.0729999999999999,28,31,29,31,1,3,,,,,1.07,0.05,0.05,,,,,,
ST,2026-07-22,84.6,-1.26,5.62,"Slaten, Justin",641933,686580,,swinging_strike,,,,,9,,R,R,R,BOS,BAL,S,,,1,1,2026,0.94,0.0,0.3655018410755745,1.565455025631224,,,621493,2,7,Top,,,,,,,1.8648120755559463,-123.3395374036345,-3.0024859940773485,9.336767310704715,21.365568386839435,-31.840464017718837,3.097137467,1.563041339,,,,85.9,2638,6.7,824735,657136,575929,663853,702332,691907,680776,678882,677800,53.76,,,,,,,,58,3,Sweeper,6,3,3,6,3,6,3,6,Standard,Standard,67,0.005,-0.065,78.3,8.3,2.03523246,,0.065,,3,-3,0.922,0.0779999999999999,28,31,29,31,1,3,,,,,3.14,-0.94,-0.94,,27.372508432182077,-20.331924491025887,36.15198415604018,35.95733150184024,44.390955674664454
ST,2026-07-22,85.6,-1.31,5.65,"Slaten, Justin",641933,686580,,swinging_strike,,,,,14,,R,R,R,BOS,BAL,S,,,1,0,2026,1.15,-0.03,1.2161328265957043,0.9913753957131486,,,621493,2,7,Top,,,,,,,3.560029994386754,-124.74005618146876,-4.54081713304107,11.458775944805144,22.11621369441735,-31.836373145504727,3.097137467,1.563041339,,,,86.9,2548,6.8,824735,657136,575929,663853,702332,691907,680776,678882,677800,53.7,,,,,,,,58,2,Sweeper,6,3,3,6,3,6,3,6,Standard,Standard,62,0.003,-0.052,73.1,8.6,14.166401424,,0.052,,3,-3,0.919,0.0809999999999999,28,31,29,31,1,3,,,,,3.1,-1.15,-1.15,,32.04707314324681,-27.042071375015603,35.500805622669155,45.46219163229733,54.38846560510863
FC,2026-07-22,93.6,-1.05,5.84,"Slaten, Justin",641933,686580,,ball,,,,,14,,R,R,R,BOS,BAL,B,,,0,0,2026,0.41,0.73,0.7433378697933753,1.3464355031956283,,,621493,2,7,Top,,,,,,,3.7072253325178743,-136.36776223811336,-7.4353941003373185,4.468441550678152,24.83218912482939,-21.77162810107241,3.097137467,1.563041339,,,,95.3,2580,6.8,824735,657136,575929,663853,702332,691907,680776,678882,677800,53.66,,,,,,,,58,1,Cutter,6,3,3,6,3,6,3,6,Standard,Standard,174,-0.002,0.04,,,,,-0.04,,3,-3,0.921,0.0789999999999999,28,31,29,31,1,3,,,,,1.83,-0.41,-0.41,,,,,,
FC,2026-07-22,94.3,-0.98,5.85,"Slaten, Justin",683002,686580,field_out,hit_into_play,,,,,9,Gunnar Henderson flies out to right fielder Wilyer Abreu.,R,L,R,BOS,BAL,X,9,fly_ball,1,2,2026,0.32,0.66,0.5509946517204225,1.9883005363494608,,,621493,1,7,Top,190.83,69.58,,,,,3.2439610116517867,-137.3573965812934,-5.694857884207585,3.429451562126329,28.2310330776113,-22.812550745589903,3.328830381,1.679970472,356,93.3,27,95.6,2458,6.8,824735,657136,575929,663853,702332,691907,680776,678882,677800,53.68,0.151,0.196,0.0,1,0,0,3,57,5,Cutter,6,3,3,6,3,6,3,6,Standard,Standard,184,0.022,-0.181,79.0,7.6,,0.327,0.181,93.3,3,-3,0.899,0.1009999999999999,28,25,29,25,1,3,,,,,1.88,-0.32,0.32,,11.670735872832108,-4.357894894782071,38.5838310017254,24.713213259901345,36.939748120521855
