playerid,Name,Age,IP,ERA,FIP,GS
17295,"<a href=""statss.aspx?playerid=17295&position=P"">Framber Valdez</a>",31.0,83.0,4.879518184420992,3.7977869358442056,14.0
32095,"<a href=""statss.aspx?playerid=32095&position=P"">Cameron Schlittler</a>",24.0,73.0,2.958904225554697,3.737876067856818,14.0
33927,"<a href=""statss.aspx?playerid=33927&position=P"">Grant Taylor</a>",23.0,26.2,5.737500585643635,1.4101361421309233,1.0
23920,"<a href=""statss.aspx?playerid=23920&position=P"">Brayan Bello</a>",26.0,95.1,3.304195881321284,3.984786687689403,15.0
21690,"<a href=""statss.aspx?playerid=21690&position=P"">Edward Cabrera</a>",27.0,73.1,3.3136364210932716,3.5851363260095774,13.0
17130,"<a href=""statss.aspx?playerid=17130&position=P"">Raisel Iglesias</a>",35.0,36.2,1.4727273006577142,2.126045389978353,0.0
26253,"<a href=""statss.aspx?playerid=26253&position=P"">Ryne Nelson</a>",27.0,86.2,3.219230828271111,3.8274440232113274,15.0
20539,"<a href=""statss.aspx?playerid=20539&position=P"">Edwin Uceta</a>",27.0,40.2,2.655738007234235,2.274480482529026,0.0
18525,"<a href=""statss.aspx?playerid=18525&position=P"">Dylan Cease</a>",29.0,76.2,4.578260964481954,3.8916580730214694,15.0
23793,"<a href=""statss.aspx?playerid=23793&position=P"">Braxton Ashcraft</a>",25.0,52.1,3.095541532897893,2.848512102197723,7.0
20302,"<a href=""statss.aspx?playerid=20302&position=P"">David Peterson</a>",29.0,73.1,5.400000163858592,3.58513633186167,14.0
12768,"<a href=""statss.aspx?playerid=12768&position=P"">Sonny Gray</a>",35.0,87.0,5.275862126798324,3.801802992181303,16.0
27867,"<a href=""statss.aspx?playerid=27867&position=P"">Cade Smith</a>",26.0,39.1,3.432203760839925,2.4741192976005797,0.0
33703,"<a href=""statss.aspx?playerid=33703&position=P"">Nolan McLean</a>",23.0,48.0,2.062500040978194,2.9684696482287514,8.0
19962,"<a href=""statss.aspx?playerid=19962&position=P"">Joey Wentz</a>",27.0,65.0,4.984615604016917,3.596674800060206,13.0
33527,"<a href=""statss.aspx?playerid=33527&position=P"">Hurston Waldrep</a>",23.0,56.1,2.875739758565882,3.206142238171377,9.0
30184,"<a href=""statss.aspx?playerid=30184&position=P"">Noah Cameron</a>",25.0,86.2,3.115384775364901,4.1505209857331264,15.0
10233,"<a href=""statss.aspx?playerid=10233&position=P"">Aroldis Chapman</a>",37.0,27.1,0.9878049649293835,1.598550817205524,0.0
24094,"<a href=""statss.aspx?playerid=24094&position=P"">Ronny Henriquez</a>",25.0,33.0,1.3636365692970491,2.0139240278958805,0.0
12718,"<a href=""statss.aspx?playerid=12718&position=P"">Adrian Houser</a>",32.0,82.1,4.044534522267939,4.082504764864142,14.0
15890,"<a href=""statss.aspx?playerid=15890&position=P"">Luis Severino</a>",31.0,58.1,3.5485715059241487,3.6665649012195827,11.0
16137,"<a href=""statss.aspx?playerid=16137&position=P"">Carlos Rodon</a>",32.0,88.2,3.248120358978364,4.037391973478555,15.0
15474,"<a href=""statss.aspx?playerid=15474&position=P"">Lucas Giolito</a>",30.0,86.1,3.0231661678784056,4.223939459128512,15.0
11156,"<a href=""statss.aspx?playerid=11156&position=P"">Merrill Kelly</a>",36.0,86.0,3.5581396532548744,4.193275888292387,15.0
22264,"<a href=""statss.aspx?playerid=22264&position=P"">Shane Baz</a>",26.0,75.2,5.471365684739215,4.126325753847949,15.0
14710,"<a href=""statss.aspx?playerid=14710&position=P"">Edwin Diaz</a>",31.0,34.2,1.2980770205351537,2.0966747017786647,0.0
24586,"<a href=""statss.aspx?playerid=24586&position=P"">Kyle Bradish</a>",28.0,32.0,2.53125,2.4476363182067873,6.0
24763,"<a href=""statss.aspx?playerid=24763&position=P"">Kyle Leahy</a>",28.0,43.1,3.3230773199804204,2.212059284878892,1.0
19569,"<a href=""statss.aspx?playerid=19569&position=P"">David Bednar</a>",30.0,34.0,1.8529413356397528,2.2233715340030997,0.0
20492,"<a href=""statss.aspx?playerid=20492&position=P"">Casey Mize</a>",28.0,70.1,4.990521552574987,3.8460368242716,14.0
27779,"<a href=""statss.aspx?playerid=27779&position=P"">Bryce Elder</a>",26.0,88.1,4.890566213736128,3.950230687162809,15.0
12049,"<a href=""statss.aspx?playerid=12049&position=P"">Kyle Hendricks</a>",35.0,77.2,4.8669529490639665,4.229556954901065,15.0
33666,"<a href=""statss.aspx?playerid=33666&position=P"">Connelly Early</a>",23.0,19.1,2.3275862451682623,0.9109983506015586,4.0
19350,"<a href=""statss.aspx?playerid=19350&position=P"">Dean Kremer</a>",29.0,74.2,4.098214372954504,4.005672051023921,13.0
16256,"<a href=""statss.aspx?playerid=16256&position=P"">Kyle Freeland</a>",32.0,85.0,4.447058973213386,4.441018715102782,16.0
24728,"<a href=""statss.aspx?playerid=24728&position=P"">Mike Burrows</a>",25.0,61.1,3.8152174704016284,3.559049370473635,12.0
12857,"<a href=""statss.aspx?playerid=12857&position=P"">Shawn Armstrong</a>",34.0,38.0,1.4210530439408409,2.34566240490632,0.0
30134,"<a href=""statss.aspx?playerid=30134&position=P"">Tanner Bibee</a>",26.0,87.2,4.619772097644913,4.184566029276743,15.0
27932,"<a href=""statss.aspx?playerid=27932&position=P"">Ian Seymour</a>",26.0,55.0,3.763636494155762,3.1533181370191343,5.0
25977,"<a href=""statss.aspx?playerid=25977&position=P"">Quinn Priester</a>",24.0,79.1,3.2899160982146425,4.004884252217555,13.0
17556,"<a href=""statss.aspx?playerid=17556&position=P"">Jimmy Herget</a>",31.0,41.2,1.9440001673183585,2.463136260368342,0.0
20039,"<a href=""statss.aspx?playerid=20039&position=P"">Adrian Morejon</a>",26.0,37.0,2.1891897217126277,2.378379377367854,0.0
21029,"<a href=""statss.aspx?playerid=21029&position=P"">Jhoan Duran</a>",27.0,32.2,2.4795918895186917,2.461666916115291,0.0
21390,"<a href=""statss.aspx?playerid=21390&position=P"">Joe Ryan</a>",29.0,79.2,4.066945639150976,4.277395741548574,15.0
9323,"<a href=""statss.aspx?playerid=9323&position=P"">Patrick Corbin</a>",35.0,73.0,4.561644133583757,4.121437752495167,15.0
29629,"<a href=""statss.aspx?playerid=29629&position=P"">Matt Svanson</a>",26.0,42.1,1.4881891572761685,2.379230714510956,0.0
16609,"<a href=""statss.aspx?playerid=16609&position=P"">Bryan Abreu</a>",28.0,32.1,3.061855988068471,2.36194036162384,0.0
30122,"<a href=""statss.aspx?playerid=30122&position=P"">Gavin Williams</a>",25.0,87.0,2.482758675120533,4.135136340130336,15.0
31986,"<a href=""statss.aspx?playerid=31986&position=P"">Parker Messick</a>",24.0,39.2,2.7226891847293593,2.9838758079440453,7.0
15823,"<a href=""statss.aspx?playerid=15823&position=P"">Zack Littell</a>",29.0,82.0,4.060975751445668,4.525380269152151,15.0
27589,"<a href=""statss.aspx?playerid=27589&position=P"">Logan Allen</a>",26.0,78.2,4.23305093298627,4.266492273269184,14.0
23550,"<a href=""statss.aspx?playerid=23550&position=P"">Aaron Ashby</a>",27.0,50.0,2.520000543737529,2.7151362275838657,1.0
10603,"<a href=""statss.aspx?playerid=10603&position=P"">Chris Sale</a>",36.0,36.1,2.724770737561243,2.58467758334593,5.0
13649,"<a href=""statss.aspx?playerid=13649&position=P"">Clay Holmes</a>",32.0,77.2,4.171674007564815,3.959170690071442,15.0
29868,"<a href=""statss.aspx?playerid=29868&position=P"">Bubba Chandler</a>",22.0,31.1,4.0212767589356755,2.6564128945239687,4.0
10954,"<a href=""statss.aspx?playerid=10954&position=P"">Jacob deGrom</a>",37.0,77.1,4.073275929044459,4.337722544877057,14.0
19316,"<a href=""statss.aspx?playerid=19316&position=P"">Eric Lauer</a>",30.0,59.2,3.6201118861411277,3.7887676309822687,9.0
18297,"<a href=""statss.aspx?playerid=18297&position=P"">Tyler Kinley</a>",34.0,36.2,1.227272849302166,2.6714999084704134,0.0
17170,"<a href=""statss.aspx?playerid=17170&position=P"">Gabe Speier</a>",30.0,30.1,2.3736272123959568,2.2450261135583034,0.0
25385,"<a href=""statss.aspx?playerid=25385&position=P"">Drew Rasmussen</a>",29.0,62.2,2.7287234319395046,4.124498030371988,14.0
17722,"<a href=""statss.aspx?playerid=17722&position=P"">Trevor Megill</a>",31.0,17.1,2.076923118584608,1.5197516704187586,0.0
27552,"<a href=""statss.aspx?playerid=27552&position=P"">Graham Ashcraft</a>",27.0,31.0,3.774194292204832,2.522232971609421,0.0
31204,"<a href=""statss.aspx?playerid=31204&position=P"">Justin Wrobleski</a>",24.0,31.1,4.595745173338204,2.3372638922800157,0.0
25327,"<a href=""statss.aspx?playerid=25327&position=P"">Abner Uribe</a>",25.0,35.1,1.0188679629137793,2.5124947853150332,0.0
20373,"<a href=""statss.aspx?playerid=20373&position=P"">Andres Munoz</a>",26.0,31.1,2.297872365924124,2.4968384387834197,0.0
21487,"<a href=""statss.aspx?playerid=21487&position=P"">Stephen Kolek</a>",28.0,50.0,3.240000123596196,3.6951363395690935,8.0
19479,"<a href=""statss.aspx?playerid=19479&position=P"">Aaron Civale</a>",30.0,64.0,4.92187514668331,4.150761348474772,10.0
3096,"<a href=""statss.aspx?playerid=3096&position=P"">Kenley Jansen</a>",37.0,30.1,1.186813199250915,2.8384330183940585,0.0
11674,"<a href=""statss.aspx?playerid=11674&position=P"">Jameson Taillon</a>",33.0,34.1,1.5728155485432407,3.1060101043448753,6.0
17677,"<a href=""statss.aspx?playerid=17677&position=P"">Jeffrey Springs</a>",32.0,79.0,4.1012659713141275,4.679440171602847,15.0
16943,"<a href=""statss.aspx?playerid=16943&position=P"">Sean Newcomb</a>",32.0,33.2,1.3366338459753373,2.214344113201555,0.0
22100,"<a href=""statss.aspx?playerid=22100&position=P"">Jose Soriano</a>",26.0,72.0,4.625000122520662,4.190691901725017,14.0
17606,"<a href=""statss.aspx?playerid=17606&position=P"">Cristian Javier</a>",28.0,37.0,4.621621740743836,3.6486498449561022,8.0
31687,"<a href=""statss.aspx?playerid=31687&position=P"">Shane Smith</a>",25.0,71.2,4.269767593375542,4.376996827391177,14.0
21306,"<a href=""statss.aspx?playerid=21306&position=P"">Jacob Latz</a>",29.0,47.0,2.6808513443143265,3.6244980715340063,6.0
13799,"<a href=""statss.aspx?playerid=13799&position=P"">Matt Strahm</a>",33.0,29.0,1.5517242479622089,2.652377663285211,0.0
19574,"<a href=""statss.aspx?playerid=19574&position=P"">JoJo Romero</a>",28.0,35.1,1.5283021583554217,2.7955136163500267,0.0
24017,"<a href=""statss.aspx?playerid=24017&position=P"">Jose A. Ferrer</a>",25.0,32.0,3.3750003174646124,2.5101362594170444,0.0
31827,"<a href=""statss.aspx?playerid=31827&position=P"">Zebby Matthews</a>",25.0,60.1,5.668508496361198,3.997014803033636,12.0
21224,"<a href=""statss.aspx?playerid=21224&position=P"">Bailey Ober</a>",29.0,54.1,4.803681094015884,4.147406280547299,10.0
31623,"<a href=""statss.aspx?playerid=31623&position=P"">Jacob Misiorowski</a>",23.0,50.0,5.400000308990496,3.8551363594055204,11.0
25636,"<a href=""statss.aspx?playerid=25636&position=P"">Hunter Gaddis</a>",27.0,34.2,2.336538990491228,2.904367035195308,0.0
10061,"<a href=""statss.aspx?playerid=10061&position=P"">Brooks Raley</a>",37.0,25.2,2.454545817451238,2.122149155449134,0.0
19178,"<a href=""statss.aspx?playerid=19178&position=P"">Tommy Nance</a>",34.0,31.2,1.989474040580322,1.8719781972034082,0.0
20633,"<a href=""statss.aspx?playerid=20633&position=P"">Yusei Kikuchi</a>",34.0,81.2,5.4000002312173745,4.54329964380769,16.0
24719,"<a href=""statss.aspx?playerid=24719&position=P"">Randy Vasquez</a>",26.0,49.1,3.831081253886666,3.8243255384826953,9.0
14843,"<a href=""statss.aspx?playerid=14843&position=P"">Michael Lorenzen</a>",33.0,53.2,4.192546782525425,4.14134754601289,10.0
16149,"<a href=""statss.aspx?playerid=16149&position=P"">Aaron Nola</a>",32.0,44.2,5.843283665262531,4.030658719013306,8.0
22543,"<a href=""statss.aspx?playerid=22543&position=P"">Taj Bradley</a>",24.0,50.2,5.506579120114575,4.220662668050162,10.0
12828,"<a href=""statss.aspx?playerid=12828&position=P"">Andrew Kittredge</a>",35.0,36.0,2.750000234486348,2.8018029564508664,0.0
12304,"<a href=""statss.aspx?playerid=12304&position=P"">Chris Bassitt</a>",36.0,76.0,3.5526317572659822,4.398294276345803,14.0
13580,"<a href=""statss.aspx?playerid=13580&position=P"">Steven Okert</a>",33.0,34.2,3.6346162980446715,2.933213190537639,1.0
12730,"<a href=""statss.aspx?playerid=12730&position=P"">Nick Martinez</a>",34.0,71.2,4.897674726822255,4.418857329225726,10.0
25007,"<a href=""statss.aspx?playerid=25007&position=P"">Alex Vesia</a>",29.0,26.0,3.11538522602374,3.1351363182067873,0.0
25098,"<a href=""statss.aspx?playerid=25098&position=P"">Jacob Lopez</a>",27.0,46.1,4.2733814122421325,4.214273038469952,9.0
19926,"<a href=""statss.aspx?playerid=19926&position=P"">Tony Santillan</a>",28.0,36.0,2.000000231795868,3.3851363471812705,0.0
15816,"<a href=""statss.aspx?playerid=15816&position=P"">Devin Williams</a>",30.0,31.2,4.831579212617361,2.724609979879822,0.0
15009,"<a href=""statss.aspx?playerid=15009&position=P"">Kyle Finnegan</a>",33.0,26.0,4.500000691184737,2.7505208745157845,0.0
29863,"<a href=""statss.aspx?playerid=29863&position=P"">Ryan Bergert</a>",25.0,49.1,4.195946216322036,4.08783908229923,10.0
24993,"<a href=""statss.aspx?playerid=24993&position=P"">Kody Funderburk</a>",28.0,29.0,1.8620692946540063,2.5489293180379335,0.0
33850,"<a href=""statss.aspx?playerid=33850&position=P"">Brandon Sproat</a>",24.0,20.2,4.7903227280131535,2.796426630367473,4.0
30115,"<a href=""statss.aspx?playerid=30115&position=P"">Robert Suarez</a>",34.0,35.0,2.057142969248252,3.192279178463683,0.0
14771,"<a href=""statss.aspx?playerid=14771&position=P"">Emilio Pagan</a>",34.0,33.2,2.6732673819492114,3.402463056401708,0.0
10310,"<a href=""statss.aspx?playerid=10310&position=P"">Zack Wheeler</a>",35.0,42.2,3.7968750565778473,4.025761331478134,7.0
19769,"<a href=""statss.aspx?playerid=19769&position=P"">Will Vest</a>",30.0,30.2,3.8152179746468704,3.10252761756878,0.0
27889,"<a href=""statss.aspx?playerid=27889&position=P"">J.T. Ginn</a>",26.0,62.1,5.197861227650629,4.482729969819913,12.0
15541,"<a href=""statss.aspx?playerid=15541&position=P"">Tyler Rogers</a>",34.0,37.0,2.189189310858429,3.0000011755612053,0.0
17897,"<a href=""statss.aspx?playerid=17897&position=P"">Garrett Cleavinger</a>",31.0,29.2,2.1235959265904443,2.9665969589535774,0.0
20997,"<a href=""statss.aspx?playerid=20997&position=P"">Eduard Bazardo</a>",29.0,35.1,2.0377361664529783,2.908721188600901,0.0
29914,"<a href=""statss.aspx?playerid=29914&position=P"">Andrew Alvarez</a>",26.0,23.1,2.314285840404284,3.392279189362819,5.0
17735,"<a href=""statss.aspx?playerid=17735&position=P"">Tyler Alexander</a>",30.0,45.2,4.7299274775183235,3.7482750652924963,1.0
18064,"<a href=""statss.aspx?playerid=18064&position=P"">Phil Maton</a>",32.0,29.1,3.988637095771495,3.101045402858313,0.0
31972,"<a href=""statss.aspx?playerid=31972&position=P"">Brad Lord</a>",25.0,73.0,5.17808239472072,4.587191169636407,13.0
23237,"<a href=""statss.aspx?playerid=23237&position=P"">Juan Mejia</a>",24.0,34.0,3.970588593772777,3.3998422244583058,0.0
26221,"<a href=""statss.aspx?playerid=26221&position=P"">Ryan Pepiot</a>",27.0,71.1,4.542056216455591,4.649155057025318,14.0
30055,"<a href=""statss.aspx?playerid=30055&position=P"">Cade Povich</a>",25.0,47.2,5.286713568772193,4.205066445220208,8.0
21052,"<a href=""statss.aspx?playerid=21052&position=P"">Luis Gil</a>",27.0,57.0,3.3157895846380128,4.626364438282084,11.0
24614,"<a href=""statss.aspx?playerid=24614&position=P"">Victor Vodnik</a>",25.0,27.0,3.33333370494258,3.1721733593728163,0.0
30249,"<a href=""statss.aspx?playerid=30249&position=P"">Jack Dreyer</a>",26.0,34.2,2.596154436111011,3.1351363182067873,0.0
30113,"<a href=""statss.aspx?playerid=30113&position=P"">Chad Patrick</a>",26.0,30.0,3.6000001144409217,3.701803002887303,6.0
27517,"<a href=""statss.aspx?playerid=27517&position=P"">Jared Koenig</a>",31.0,31.2,1.421052755064592,3.1982942184318803,0.0
21448,"<a href=""statss.aspx?playerid=21448&position=P"">Davis Martin</a>",28.0,62.0,4.500000138436598,4.667394429860826,12.0
15145,"<a href=""statss.aspx?playerid=15145&position=P"">Justin Topa</a>",34.0,28.0,3.857143267685097,3.027993449659979,0.0
18383,"<a href=""statss.aspx?playerid=18383&position=P"">Michael Soroka</a>",27.0,30.1,4.153846466732774,3.9263451690130298,6.0
24494,"<a href=""statss.aspx?playerid=24494&position=P"">Simeon Woods Richardson</a>",24.0,53.0,3.3962265373167555,4.6823061852066425,11.0
6984,"<a href=""statss.aspx?playerid=6984&position=P"">Luis Garcia</a>",38.0,28.0,1.607143035044495,2.95656486986851,0.0
13619,"<a href=""statss.aspx?playerid=13619&position=P"">Jakob Junis</a>",32.0,31.1,1.7234045465495431,2.847902227115197,0.0
22210,"<a href=""statss.aspx?playerid=22210&position=P"">Jeremiah Estrada</a>",26.0,36.0,3.5000005968743917,3.746247533534062,0.0
6902,"<a href=""statss.aspx?playerid=6902&position=P"">Martin Perez</a>",34.0,36.0,3.7500001986821596,4.496247501432164,6.0
17381,"<a href=""statss.aspx?playerid=17381&position=P"">Matt Gage</a>",32.0,25.1,3.907895742113499,2.6614519858293937,2.0
20253,"<a href=""statss.aspx?playerid=20253&position=P"">Griffin Jax</a>",30.0,30.2,4.402174462066127,3.232962417363812,2.0
27694,"<a href=""statss.aspx?playerid=27694&position=P"">Justin Sterner</a>",28.0,37.2,2.389380883237934,3.53336646541311,0.0
32227,"<a href=""statss.aspx?playerid=32227&position=P"">Luis Morales</a>",22.0,48.2,3.143835780723038,4.6762322891494525,9.0
27473,"<a href=""statss.aspx?playerid=27473&position=P"">Cade Cavalli</a>",26.0,48.2,4.253424713101122,4.532396610433243,10.0
27691,"<a href=""statss.aspx?playerid=27691&position=P"">Louie Varland</a>",27.0,36.0,4.0000008940698715,3.3573585900995577,1.0
20348,"<a href=""statss.aspx?playerid=20348&position=P"">Riley O'Brien</a>",30.0,32.0,1.968750304367906,3.1038863133755505,0.0
26203,"<a href=""statss.aspx?playerid=26203&position=P"">Andrew Saalfrank</a>",27.0,29.0,1.2413794838432708,3.3075501354072414,0.0
11486,"<a href=""statss.aspx?playerid=11486&position=P"">Robbie Ray</a>",33.0,84.0,4.714285928375877,4.5756125740994165,15.0
35456,"<a href=""statss.aspx?playerid=35456&position=P"">Trey Yesavage</a>",21.0,14.0,3.2142857142857144,2.3494220324925017,3.0
27500,"<a href=""statss.aspx?playerid=27500&position=P"">Slade Cecconi</a>",26.0,90.0,4.60000009748671,4.735136352115208,15.0
15873,"<a href=""statss.aspx?playerid=15873&position=P"">Sean Manaea</a>",33.0,60.2,5.637362962298302,4.387883643161965,12.0
17578,"<a href=""statss.aspx?playerid=17578&position=P"">JT Brubaker</a>",31.0,25.1,2.84210540915626,2.424609965917722,1.0
15734,"<a href=""statss.aspx?playerid=15734&position=P"">Brad Keller</a>",29.0,32.0,2.250000144587839,3.4476363382884316,0.0
20629,"<a href=""statss.aspx?playerid=20629&position=P"">Tyler Phillips</a>",27.0,37.1,1.2053572810944138,3.4029934917833238,1.0
19742,"<a href=""statss.aspx?playerid=19742&position=P"">Anthony Bender</a>",30.0,14.1,1.883721113011557,2.15839203738598,0.0
22630,"<a href=""statss.aspx?playerid=22630&position=P"">Keider Montero</a>",24.0,34.2,4.932692533854913,4.058213283606537,6.0
26448,"<a href=""statss.aspx?playerid=26448&position=P"">Trevor McDonald</a>",24.0,15.0,1.8,2.535136318206787,2.0
27775,"<a href=""statss.aspx?playerid=27775&position=P"">Kyle Nicolas</a>",26.0,26.0,3.461538862282754,2.9043670607212704,0.0
10078,"<a href=""statss.aspx?playerid=10078&position=P"">Caleb Thielbar</a>",38.0,27.0,3.333334102307014,3.2092104093691654,0.0
19481,"<a href=""statss.aspx?playerid=19481&position=P"">Tyler Ferguson</a>",31.0,23.0,1.5652176569901253,3.00470151345761,0.0
26344,"<a href=""statss.aspx?playerid=26344&position=P"">Taylor Rashi</a>",29.0,16.1,4.408163624572466,1.9106464224922135,0.0
29869,"<a href=""statss.aspx?playerid=29869&position=P"">Michael McGreevy</a>",24.0,74.1,4.479820704435694,4.520786566125335,13.0
17594,"<a href=""statss.aspx?playerid=17594&position=P"">Mitch Keller</a>",29.0,77.0,4.5584417278156675,4.849422096188748,15.0
13932,"<a href=""statss.aspx?playerid=13932&position=P"">Dietrich Enns</a>",34.0,41.1,4.572581112227847,3.788362191382194,2.0
27468,"<a href=""statss.aspx?playerid=27468&position=P"">Reid Detmers</a>",25.0,27.1,3.6219515341252877,3.5009900085224728,0.0
21846,"<a href=""statss.aspx?playerid=21846&position=P"">Cole Ragans</a>",27.0,13.0,2.7692309723803428,2.673597822810064,3.0
27470,"<a href=""statss.aspx?playerid=27470&position=P"">Emerson Hancock</a>",26.0,18.2,3.3750001149518187,2.6529934446422416,2.0
21520,"<a href=""statss.aspx?playerid=21520&position=P"">Hogan Harris</a>",28.0,31.1,2.2978727309183187,3.3585406114905125,0.0
