Name,Team,Season,Age,G,PA,AB,H,HR,AVG,OBP,SLG,OPS,ISO,BABIP,wOBA,xwOBA,wRC+,WAR,K%,BB%,Barrel%,HardHit%,EV,maxEV,LA,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,SwStr%,GB%,FB%,LD%,Pull%,Cent%,Oppo%,Spd,BaseRunning,UBR,wBsR,Defense,Fielding,Offense
Gabriel Arias,CLE,2023,23.0,122.0,345.0,315.0,66.0,10.0,0.209523809,0.275362318,0.352380952,0.62774327,0.142857143,0.29015544,0.2756309265675752,0.30453517747961956,73.20725008164295,0.5102467442711104,0.327536231,0.08115942,0.09852217,0.46305419,91.05678784547739,114.4,3.6834170854271355,0.37894737,0.77435897,0.55092937,0.47916667,0.75055188,0.64507422,0.19510386,0.522613065,0.296482412,0.180904522,0.33004926,0.39408867,0.27586207,2.5899203350590474,0.47337216790765524,0.30000001192092896,-1.6276708180084825,3.958284132182598,3.943995475769043,-10.602271216244063
Edward Olivares,KCR,2023,27.0,107.0,385.0,354.0,93.0,12.0,0.262711864,0.316883116,0.451977401,0.768860517,0.189265537,0.289285714,0.32886485817531746,0.33516573905944824,105.84335632538968,0.5081906304338301,0.166233766,0.057142857,0.07876712,0.37671233,87.29897527825342,111.0,12.164383561643836,0.34355828,0.72727273,0.50704225,0.62142857,0.89772727,0.79027778,0.10611384,0.428082191,0.397260273,0.174657534,0.46232877,0.26712329,0.27054795,6.041191241575664,0.40914150048047304,0.10000000149011612,-0.5422103209421039,-11.132933139801025,-4.423399925231934,3.1047429299874207
Paul DeJong,- - -,2023,29.0,112.0,400.0,372.0,77.0,14.0,0.206989247,0.2575,0.354838709,0.612338709,0.147849462,0.263598326,0.2664926388859749,0.2773028719425201,65.57260514690904,0.5031641459603794,0.3025,0.0525,0.06719368,0.33201581,85.53913197875494,107.6,16.8300395256917,0.37515225,0.74461028,0.53160112,0.48051948,0.80400891,0.67239102,0.1741573,0.395256916,0.411067193,0.193675889,0.44268775,0.24505929,0.31225296,2.951180131518848,-2.1348668104037642,-1.4999999850988388,-1.4739015568047762,10.324241816997528,5.751197457313538,-18.879000987366055
Luis Garcia Jr.,WSN,2023,23.0,122.0,482.0,447.0,119.0,9.0,0.266219239,0.303534303,0.384787472,0.688321775,0.118568233,0.285714285,0.29678483083844187,0.30878145225876047,84.23861738268062,0.49953504129195525,0.124481327,0.056016597,0.05822785,0.36455696,88.24744897959184,110.0,4.55470737913486,0.34719536,0.75225225,0.50588235,0.7632312,0.91017964,0.84883721,0.07638073,0.532994923,0.281725888,0.185279187,0.34683544,0.39240506,0.26075949,5.511407678073452,-0.44280737172812223,-1.2999999523162842,-0.7666962398216128,-1.5197193622589111,-3.228109121322632,-9.854328207825786
Manuel Margot,TBR,2023,28.0,99.0,336.0,311.0,82.0,4.0,0.263665594,0.309523809,0.376205787,0.685729596,0.112540193,0.305882352,0.2992754883709408,0.30142783549294544,92.22253135781547,0.4837687870720627,0.163690476,0.053571428,0.03861004,0.37837838,87.91842830882354,111.5,10.51953125,0.32859175,0.7183908,0.49469388,0.63203463,0.86666667,0.77722772,0.10993485,0.45703125,0.34765625,0.1953125,0.40540541,0.31274131,0.28185328,5.196108734202019,-2.0816087173298,-1.100000023841858,-0.06723374594002962,-1.389906644821167,-0.5965824127197266,-5.212803786720022
Michael Massey,KCR,2023,25.0,129.0,461.0,428.0,98.0,15.0,0.228971962,0.273913043,0.380841121,0.654754164,0.151869159,0.261006289,0.28283921946649965,0.31740834354575165,73.94197727708804,0.4698074400367207,0.214750542,0.052060737,0.07784431,0.39520958,88.56018474544074,110.3,19.699088145896656,0.35916824,0.73307791,0.51819663,0.67631579,0.87804878,0.79769392,0.10466377,0.303951367,0.449848024,0.246200607,0.52095808,0.27245509,0.20658683,3.632828365146772,0.9340409245342016,1.2000000476837158,-0.3530274424701929,2.455823838710785,1.8745486736297607,-13.459742444663075
Matt Thaiss,LAA,2023,28.0,95.0,307.0,262.0,56.0,9.0,0.213740458,0.319218241,0.339694656,0.658912897,0.125954198,0.2716763,0.29541195276515936,0.33156436097388176,84.52133994696479,0.4645881752200334,0.270358306,0.117263843,0.1043956,0.40659341,88.47735022444752,110.0,9.182320441988951,0.23743017,0.76,0.45850121,0.54705882,0.76190476,0.69771529,0.13848631,0.425414364,0.364640883,0.209944751,0.41208791,0.33516484,0.25274725,2.849132428327697,-1.9235604060813785,-0.8999999985098839,-0.23182013165205717,1.8109263181686401,-2.5186344385147095,-7.617388042033667
Robbie Grossman,TEX,2023,33.0,115.0,420.0,353.0,84.0,10.0,0.237960339,0.34047619,0.393767705,0.734243895,0.155807366,0.292490118,0.3225277374188105,0.30906801360645936,105.93648326005827,0.46336515829370295,0.233333333,0.135714285,0.06844106,0.37262357,88.20684559173004,109.0,20.25855513307985,0.18737271,0.64120055,0.38134111,0.64673913,0.88085106,0.81498471,0.07022635,0.319391634,0.467680608,0.212927756,0.39543726,0.37642586,0.22813688,3.2920381561192955,-0.8976509454660118,1.6000000834465027,-0.6398584726266563,-11.760721683502197,-4.854000568389893,2.0898710826830755
Luke Maile,CIN,2023,32.0,78.0,199.0,179.0,42.0,6.0,0.234636871,0.308080808,0.391061452,0.69914226,0.156424581,0.29032258,0.3069737827537036,0.3149687641798848,86.2348523263983,0.45828569059829327,0.246231155,0.070351758,0.10687023,0.33587786,87.67054263565892,106.0,14.682170542635658,0.29147982,0.653125,0.44255875,0.61538462,0.84688995,0.75811209,0.10704961,0.426356589,0.379844961,0.193798449,0.4351145,0.35114504,0.21374046,2.5420440512540248,-0.8230632874183357,-0.6999999284744263,-0.3688086005859077,2.0482763051986694,-2.1332508325576782,-4.216598884789812
Sean Bouchard,COL,2023,27.0,21.0,43.0,38.0,12.0,4.0,0.315789473,0.372093023,0.684210526,1.056303549,0.368421053,0.38095238,0.43215670142062873,0.37397517714389533,161.50069669421555,0.4504156026520747,0.325581395,0.093023255,0.2,0.44,90.98,112.1,7.92,0.34020619,0.6,0.44444444,0.45454545,0.8974359,0.69444444,0.13580247,0.44,0.44,0.12,0.32,0.48,0.2,3.629384878631564,-0.770337893627584,-0.10000000149011612,-0.4991292795166373,0.549477219581604,1.0278722047805786,2.505836028364281
